Wavelength (nm),Absorbance
737.5,0.021
738.0,0.021
738.5,0.021
739.0,0.021
739.5,0.021
740.0,0.021
740.5,0.021
741.0,0.022
741.5,0.021
742.0,0.021
742.5,0.021
743.0,0.022
743.5,0.021
744.0,0.022
744.5,0.021
745.0,0.021
745.5,0.021
746.0,0.021
746.5,0.021
747.0,0.021
747.5,0.021
748.0,0.021
748.5,0.021
749.0,0.021
749.5,0.021
750.0,0.021
750.5,0.021
751.0,0.021
751.5,0.021
752.0,0.021
752.5,0.021
753.0,0.021
753.5,0.021
754.0,0.021
754.5,0.021
755.0,0.021
755.5,0.021
756.0,0.021
756.5,0.021
757.0,0.021
757.5,0.021
758.0,0.021
758.5,0.021
759.0,0.021
759.5,0.021
760.0,0.021
760.5,0.021
761.0,0.021
761.5,0.021
762.0,0.021
762.5,0.021
763.0,0.021
763.5,0.021
764.0,0.021
764.5,0.021
765.0,0.021
765.5,0.021
766.0,0.021
766.5,0.021
767.0,0.021
767.5,0.021
768.0,0.022
768.5,0.021
769.0,0.021
769.5,0.021
770.0,0.021
770.5,0.021
771.0,0.021
771.5,0.021
772.0,0.022
772.5,0.021
773.0,0.021
773.5,0.021
774.0,0.022
774.5,0.021
775.0,0.021
775.5,0.021
776.0,0.021
776.5,0.021
777.0,0.021
777.5,0.021
778.0,0.022
778.5,0.022
779.0,0.021
779.5,0.022
780.0,0.022
780.5,0.022
781.0,0.022
781.5,0.021
782.0,0.021
782.5,0.021
783.0,0.021
783.5,0.021
784.0,0.021
784.5,0.022
785.0,0.022
785.5,0.022
786.0,0.022
786.5,0.021
787.0,0.022
787.5,0.022
788.0,0.022
788.5,0.021
789.0,0.021
789.5,0.021
790.0,0.022
790.5,0.021
791.0,0.021
791.5,0.021
792.0,0.021
792.5,0.021
793.0,0.021
793.5,0.022
794.0,0.022
794.5,0.022
795.0,0.022
795.5,0.022
796.0,0.022
796.5,0.022
797.0,0.022
797.5,0.022
798.0,0.022
798.5,0.022
799.0,0.022
799.5,0.022
800.0,0.021
800.5,0.021
801.0,0.021
801.5,0.021
802.0,0.021
802.5,0.021
803.0,0.022
803.5,0.022
804.0,0.022
804.5,0.022
805.0,0.022
805.5,0.022
806.0,0.022
806.5,0.022
807.0,0.022
807.5,0.022
808.0,0.022
808.5,0.022
809.0,0.022
809.5,0.021
810.0,0.021
810.5,0.022
811.0,0.022
811.5,0.022
812.0,0.022
812.5,0.022
813.0,0.021
813.5,0.021
814.0,0.021
814.5,0.022
815.0,0.022
815.5,0.021
816.0,0.022
816.5,0.021
817.0,0.022
817.5,0.022
818.0,0.022
818.5,0.022
819.0,0.022
819.5,0.022
820.0,0.022
820.5,0.022
821.0,0.022
821.5,0.022
822.0,0.022
822.5,0.022
823.0,0.022
823.5,0.022
824.0,0.022
824.5,0.021
825.0,0.021
825.5,0.022
826.0,0.022
826.5,0.022
827.0,0.022
827.5,0.022
828.0,0.021
828.5,0.021
829.0,0.022
829.5,0.022
830.0,0.022
830.5,0.022
831.0,0.022
831.5,0.022
832.0,0.022
832.5,0.022
833.0,0.022
833.5,0.022
834.0,0.022
834.5,0.022
835.0,0.023
835.5,0.022
836.0,0.022
836.5,0.022
837.0,0.022
837.5,0.022
838.0,0.022
838.5,0.022
839.0,0.022
839.5,0.022
840.0,0.023
840.5,0.023
841.0,0.022
841.5,0.022
842.0,0.022
842.5,0.022
843.0,0.022
843.5,0.022
844.0,0.022
844.5,0.022
845.0,0.022
845.5,0.022
846.0,0.022
846.5,0.021
847.0,0.021
847.5,0.021
848.0,0.021
848.5,0.022
849.0,0.022
849.5,0.023
850.0,0.022
850.5,0.022
851.0,0.022
851.5,0.021
852.0,0.022
852.5,0.022
853.0,0.022
853.5,0.022
854.0,0.022
854.5,0.021
855.0,0.022
855.5,0.022
856.0,0.022
856.5,0.022
857.0,0.022
857.5,0.021
858.0,0.021
858.5,0.021
859.0,0.022
859.5,0.022
860.0,0.023
860.5,0.022
861.0,0.023
861.5,0.022
862.0,0.023
862.5,0.023
863.0,0.023
863.5,0.022
864.0,0.022
864.5,0.023
865.0,0.023
865.5,0.022
866.0,0.023
866.5,0.022
867.0,0.022
867.5,0.021
868.0,0.021
868.5,0.020
869.0,0.020
869.5,0.020
870.0,0.020
870.5,0.021
871.0,0.021
871.5,0.022
872.0,0.021
872.5,0.022
873.0,0.023
873.5,0.024
874.0,0.023
874.5,0.024
875.0,0.024
875.5,0.024
876.0,0.022
876.5,0.020
877.0,0.018
877.5,0.020
878.0,0.022
878.5,0.024
879.0,0.022
879.5,0.021
880.0,0.021
880.5,0.022
881.0,0.023
881.5,0.024
882.0,0.026
882.5,0.024
883.0,0.023
883.5,0.022
884.0,0.022
884.5,0.021
885.0,0.019
885.5,0.018
886.0,0.020
886.5,0.022
887.0,0.025
887.5,0.025
888.0,0.022
888.5,0.021
889.0,0.018
889.5,0.019
890.0,0.018
890.5,0.020
891.0,0.021
891.5,0.021
892.0,0.021
892.5,0.020
893.0,0.021
893.5,0.024
894.0,0.025
894.5,0.024
895.0,0.023
895.5,0.024
896.0,0.028
896.5,0.029
897.0,0.027
897.5,0.023
898.0,0.020
898.5,0.022
899.0,0.022
899.5,0.027
900.0,0.029
