Wavelength (nm),Absorbance
555.0,0.005
555.5,0.004
556.0,0.004
556.5,0.005
557.0,0.005
557.5,0.005
558.0,0.005
558.5,0.005
559.0,0.005
559.5,0.005
560.0,0.005
560.5,0.005
561.0,0.005
561.5,0.005
562.0,0.005
562.5,0.005
563.0,0.005
563.5,0.005
564.0,0.005
564.5,0.005
565.0,0.005
565.5,0.005
566.0,0.005
566.5,0.005
567.0,0.005
567.5,0.005
568.0,0.005
568.5,0.005
569.0,0.005
569.5,0.005
570.0,0.005
570.5,0.005
571.0,0.005
571.5,0.005
572.0,0.005
572.5,0.005
573.0,0.005
573.5,0.005
574.0,0.005
574.5,0.005
575.0,0.005
575.5,0.005
576.0,0.005
576.5,0.005
577.0,0.005
577.5,0.005
578.0,0.005
578.5,0.005
579.0,0.005
579.5,0.005
580.0,0.005
580.5,0.005
581.0,0.005
581.5,0.005
582.0,0.005
582.5,0.005
583.0,0.005
583.5,0.005
584.0,0.005
584.5,0.005
585.0,0.005
585.5,0.005
586.0,0.005
586.5,0.005
587.0,0.005
587.5,0.005
588.0,0.005
588.5,0.005
589.0,0.005
589.5,0.005
590.0,0.005
590.5,0.005
591.0,0.005
591.5,0.005
592.0,0.005
592.5,0.005
593.0,0.005
593.5,0.005
594.0,0.005
594.5,0.005
595.0,0.005
595.5,0.005
596.0,0.005
596.5,0.005
597.0,0.005
597.5,0.005
598.0,0.005
598.5,0.005
599.0,0.005
599.5,0.005
600.0,0.005
600.5,0.005
601.0,0.005
601.5,0.005
602.0,0.005
602.5,0.005
603.0,0.005
603.5,0.005
604.0,0.005
604.5,0.005
605.0,0.005
605.5,0.005
606.0,0.005
606.5,0.005
607.0,0.005
607.5,0.005
608.0,0.005
608.5,0.005
609.0,0.005
609.5,0.005
610.0,0.005
610.5,0.005
611.0,0.005
611.5,0.005
612.0,0.005
612.5,0.005
613.0,0.005
613.5,0.005
614.0,0.005
614.5,0.005
615.0,0.005
615.5,0.005
616.0,0.005
616.5,0.005
617.0,0.005
617.5,0.005
618.0,0.005
618.5,0.005
619.0,0.005
619.5,0.005
620.0,0.005
620.5,0.005
621.0,0.005
621.5,0.005
622.0,0.005
622.5,0.005
623.0,0.005
623.5,0.005
624.0,0.005
624.5,0.005
625.0,0.005
625.5,0.005
626.0,0.005
626.5,0.005
627.0,0.005
627.5,0.005
628.0,0.005
628.5,0.005
629.0,0.005
629.5,0.005
630.0,0.005
630.5,0.005
631.0,0.005
631.5,0.005
632.0,0.005
632.5,0.005
633.0,0.005
633.5,0.005
634.0,0.005
634.5,0.005
635.0,0.005
635.5,0.005
636.0,0.005
636.5,0.005
637.0,0.005
637.5,0.005
638.0,0.005
638.5,0.005
639.0,0.005
639.5,0.005
640.0,0.005
640.5,0.005
641.0,0.005
641.5,0.005
642.0,0.005
642.5,0.005
643.0,0.005
643.5,0.005
644.0,0.005
644.5,0.005
645.0,0.005
645.5,0.005
646.0,0.005
646.5,0.005
647.0,0.005
647.5,0.005
648.0,0.005
648.5,0.005
649.0,0.005
649.5,0.005
650.0,0.005
650.5,0.005
651.0,0.005
651.5,0.005
652.0,0.005
652.5,0.006
653.0,0.006
653.5,0.006
654.0,0.006
654.5,0.006
655.0,0.005
655.5,0.005
656.0,0.005
656.5,0.005
657.0,0.006
657.5,0.006
658.0,0.006
658.5,0.006
659.0,0.006
659.5,0.006
660.0,0.006
660.5,0.006
661.0,0.006
661.5,0.006
662.0,0.006
662.5,0.006
663.0,0.006
663.5,0.006
664.0,0.006
664.5,0.006
665.0,0.006
665.5,0.006
666.0,0.006
666.5,0.006
667.0,0.006
667.5,0.006
668.0,0.006
668.5,0.006
669.0,0.006
669.5,0.006
670.0,0.006
670.5,0.006
671.0,0.006
671.5,0.006
672.0,0.006
672.5,0.006
673.0,0.006
673.5,0.006
674.0,0.006
674.5,0.006
675.0,0.006
675.5,0.006
676.0,0.006
676.5,0.006
677.0,0.006
677.5,0.006
678.0,0.006
678.5,0.006
679.0,0.006
679.5,0.006
680.0,0.006
680.5,0.006
681.0,0.006
681.5,0.006
682.0,0.006
682.5,0.006
683.0,0.006
683.5,0.006
684.0,0.006
684.5,0.006
685.0,0.006
685.5,0.006
686.0,0.006
686.5,0.006
687.0,0.006
687.5,0.006
688.0,0.006
688.5,0.006
689.0,0.006
689.5,0.006
690.0,0.006
690.5,0.006
691.0,0.006
691.5,0.006
692.0,0.006
692.5,0.006
693.0,0.006
693.5,0.006
694.0,0.006
694.5,0.006
695.0,0.006
695.5,0.006
696.0,0.006
696.5,0.006
697.0,0.006
697.5,0.006
698.0,0.006
698.5,0.006
699.0,0.006
699.5,0.006
700.0,0.006
700.5,0.006
701.0,0.006
701.5,0.006
702.0,0.006
702.5,0.006
703.0,0.006
703.5,0.006
704.0,0.006
704.5,0.006
705.0,0.006
705.5,0.006
706.0,0.006
706.5,0.006
707.0,0.006
707.5,0.006
708.0,0.006
708.5,0.006
709.0,0.006
709.5,0.006
710.0,0.006
710.5,0.006
711.0,0.006
711.5,0.006
712.0,0.006
712.5,0.006
713.0,0.006
713.5,0.006
714.0,0.006
714.5,0.006
715.0,0.006
715.5,0.006
716.0,0.006
716.5,0.006
717.0,0.006
717.5,0.006
718.0,0.006
718.5,0.006
719.0,0.006
719.5,0.006
720.0,0.006
720.5,0.006
721.0,0.006
721.5,0.006
722.0,0.006
722.5,0.006
723.0,0.006
723.5,0.006
724.0,0.006
724.5,0.006
725.0,0.006
725.5,0.006
726.0,0.006
726.5,0.006
727.0,0.006
727.5,0.006
728.0,0.006
728.5,0.006
729.0,0.006
729.5,0.006
730.0,0.006
730.5,0.006
731.0,0.006
731.5,0.006
732.0,0.006
732.5,0.006
733.0,0.006
733.5,0.006
734.0,0.006
734.5,0.006
735.0,0.006
735.5,0.006
736.0,0.006
736.5,0.006
737.0,0.006
737.5,0.006
738.0,0.006
738.5,0.006
739.0,0.005
739.5,0.006
740.0,0.006
740.5,0.006
741.0,0.005
741.5,0.005
